,name,brand,old_price,new_price,discount
101,Брюки спортивные LOGO SERIES M,EA7,69200,26663,61.46965317919075
102,Рубашка,Hackett London,88900,46232,47.9955005624297
103,Кроссовки,Armani Exchange,65000,55290,14.938461538461539
104,Куртка утепленная,Aeronautica Militare,391200,312990,19.99233128834355
105,Кардиган,Boss,107500,85990,20.009302325581388
106,Кроссовки,Versace Jeans Couture,145300,75592,47.97522367515485
107,Поло,Malagrida,83200,62390,25.012019230769226
108,Джемпер,Armani Exchange,86300,69090,19.942062572421776
109,Жилет утепленный,Armani Exchange,126300,70792,43.94932699920824
110,Куртка утепленная Oden1,Boss,156800,109790,29.98086734693878
111,Джемпер Botto-L,Boss,88800,66590,25.011261261261268
112,Толстовка,Bikkembergs,211200,55493,73.7249053030303
113,Джемпер H-Dambino,Boss,123100,98490,19.991876523151902
114,Джемпер,Karl Lagerfeld,161300,129090,19.969001859888408
115,Брюки,Aeronautica Militare,147700,103390,30.0
116,Кеды Belwar_Hito_tb,Boss,142300,113890,19.964862965565715
117,Сумка Ethon 2.0N_NS zip,Hugo,50400,35290,29.980158730158735
118,Брюки спортивные CORE ID M,EA7,61200,42840,30.0
119,Джемпер Anion_S,Boss,85700,68590,19.96499416569428
120,Джинсы,Armani Exchange,102900,82390,19.931972789115648
121,Брюки спортивные Napin,Hugo,64400,51590,19.891304347826093
122,Пиджак,Bikkembergs,330100,86693,73.73735231747955
123,Водолазка,Malagrida,78000,58490,25.01282051282051
124,Куртка утепленная,Aeronautica Militare,391200,312990,19.99233128834355
125,Джемпер,Boss,85700,55790,34.90081680280048
126,Брюки спортивные Hadim 1,Boss,100200,80190,19.970059880239518
127,Кроссовки,Boss,178600,142890,19.99440089585667
128,Брюки спортивные,Aeronautica Militare,95400,76390,19.926624737945502
129,Кардиган,Aeronautica Militare,117100,93690,19.991460290350133
130,Кроссовки,Versace Jeans Couture,178000,92552,48.004494382022465
131,Кроссовки,Versace Jeans Couture,145300,81432,43.95595320027529
132,Рубашка,Harmont & Blaine,89500,42952,52.00893854748603
133,Куртка утепленная,Boss,213900,171190,19.96727442730247
134,Джинсы,Emporio Armani,145400,109090,24.972489683631366
135,Куртка утепленная,Aeronautica Militare,274100,219290,19.996351696461147
136,Свитшот,Hackett London,105100,54712,47.94291151284491
137,Джинсы,Armani Exchange,102900,82390,19.931972789115648
138,Джемпер,Harmont & Blaine,124300,87090,29.935639581657284
139,Брюки спортивные,Boss,100200,80190,19.970059880239518
140,Брюки,Emporio Armani,149100,119290,19.993293091884652
141,Джемпер,Malagrida,105000,78790,24.961904761904762
142,Пуховик,Add,401200,280890,29.987537387836497
143,Брюки спортивные,Blauer USA,65900,34312,47.93323216995448
144,Кроссовки,Piquadro,169000,126750,25.0
145,Брюки,Boss,93000,74390,20.010752688172033
146,Джемпер Perform-X_QZ,Boss,123100,92390,24.94719740048741
147,Джемпер H-Eclaus,Boss,128800,90190,29.97670807453416
148,Брюки спортивные,Richmond X,110000,37118,66.25636363636363
149,Водолазка Avac_M,Boss,100200,80190,19.970059880239518
150,Олимпийка Tracksuit Jacket,Boss,86200,68990,19.965197215777266
151,Брюки,CC Collection Corneliani,179400,93352,47.96432552954292
152,Куртка джинсовая,Hugo,128800,103090,19.961180124223603
153,Куртка кожаная,Serge Pariente,266200,159760,39.984973703981964
154,Куртка кожаная,Serge Pariente,189800,106320,43.98314014752371
155,Брюки спортивные Sestart,Boss,82100,65690,19.98781973203411
156,Брюки,Hackett London,117400,51672,55.98637137989779
157,Куртка утепленная,Boss,356700,285390,19.99158957106812
158,Брюки Lamoda x Chapurin x Смешарики,Chapurin,114400,51593,54.90122377622378
159,Брюки спортивные Hadim 1,Boss,100200,80190,19.970059880239518
160,Брюки спортивные,Cavalli Class,151500,34118,77.47986798679868
161,Брюки спортивные C-Locsin 01,Boss,128800,83790,34.94565217391305
162,Жилет утепленный Odeno1,Boss,136600,109290,19.99267935578331
163,Куртка утепленная Omaris,Boss,249200,199390,19.98796147672553
164,Куртка утепленная Okobra1,Boss,285000,227990,20.00350877192983
165,Брюки спортивные,Aeronautica Militare,88100,70490,19.988649262202046
166,Куртка утепленная J_Thor 2,Boss,178100,142490,19.994385176866928
167,Джинсы,Diesel,119600,83790,29.941471571906348
168,Брюки спортивные CORE ID M,EA7,65400,45780,30.0
169,Куртка утепленная H-Comber,Boss,213900,149790,29.971949509116413
170,Пуховик JEREMY,Hetrego,400600,320490,19.997503744383422
171,Свитер H-Eltorino,Boss,128800,96590,25.007763975155285
172,Брюки,Boss,85700,59990,30.0
173,Пуховик,Armani Exchange,140400,112390,19.95014245014245
174,Кардиган Ever-X_FZ,Boss,115800,86890,24.965457685664944
175,Кроссовки,Harmont & Blaine,209000,114990,44.980861244019145
176,Брюки,Bikkembergs,122500,32168,73.7404081632653
177,Кроссовки,Bogner,207400,165990,19.966248794599807
178,Пуховик,Add,401200,320990,19.992522432701904
179,Брюки спортивные AHTLETIC MIX M,EA7,83100,32053,61.42839951865223
180,Куртка утепленная Oneon2,Boss,320900,256790,19.978186350888123
181,Джемпер,Corneliani,241200,192990,19.987562189054728
182,Брюки,Boss,128800,103090,19.961180124223603
183,Куртка кожаная,Serge Pariente,266200,159760,39.984973703981964
184,Куртка утепленная Hamar,Boss,213900,171190,19.96727442730247
185,Брюки спортивные,Boss,128800,96590,25.007763975155285
186,Брюки спортивные CORE ID M,EA7,57100,39970,30.0
187,Куртка кожаная утепленная Jobear,Boss,427800,342290,19.988312295465178
188,Брюки спортивные VISIBILITY M,EA7,61200,42840,30.0
189,Брюки,Aeronautica Militare,136300,109090,19.963316214233302
190,Куртка утепленная,Aeronautica Militare,274100,219290,19.996351696461147
191,Брюки,Aeronautica Militare,214000,171190,20.004672897196258
192,Джемпер,Corneliani,241200,192990,19.987562189054728
193,Куртка утепленная Kalbero,Boss,204100,163290,19.995100440960314
194,Куртка утепленная C-Mersino,Boss,427800,299490,29.992987377279107
195,Пуховик CORE ID M,EA7,126100,88270,30.0
196,Брюки P-Perin-DS-WG-243F,Boss,121500,85090,29.96707818930041
197,Кардиган H-Eltorno,Boss,142800,114290,19.96498599439775
198,Брюки спортивные CORE ID M,EA7,61200,42840,30.0
199,Джемпер,Harmont & Blaine,124300,87090,29.935639581657284
200,Кроссовки,Baldinini,275600,192990,29.974600870827288
201,Брюки,Corneliani,213100,110872,47.97184420459878
202,Куртка кожаная утепленная,Serge Pariente,198600,111280,43.967774420946625
203,Джинсы,Hackett London,117400,51672,55.98637137989779
204,Пуховик CORE ID M,EA7,122400,68593,43.95996732026144
205,Куртка кожаная,Blouson,409900,286990,29.98536228348378
206,Плащ Maluks2341,Hugo,285000,142500,50.0
207,Брюки,Les Hommes,220800,97192,55.981884057971016
208,Джинсы,Diesel,119600,83790,29.941471571906348
209,Пуховик MAX,Hetrego,313700,250990,19.990436722983745
210,Пуховик BORIS,Hetrego,443200,354590,19.9932310469314
211,Плащ,Hugo,272100,136000,50.01837559720691
212,Кроссовки,Fabi,270000,175490,35.00370370370371
213,Брюки спортивные VISIBILITY M,EA7,61200,42840,30.0
214,Пуховик CORE ID M,EA7,126100,88270,30.0
215,Джемпер,Corneliani,189800,151890,19.973656480505795
216,Куртка утепленная Calanos,Boss,156800,125490,19.968112244897966
217,Трусы,Plein Sport,55200,46990,14.873188405797094
218,Кроссовки,Piquadro,169000,126750,25.0
219,Куртка утепленная CORE ID M,EA7,139600,97720,30.0
220,Пуховик,Add,424800,297390,29.99293785310735
221,Жилет утепленный Odeno1,Boss,136600,109290,19.99267935578331
222,Брюки Zayn242,Hugo,64400,48300,25.0
223,Ветровка,Blauer USA,131900,48368,63.329795299469296
224,Водолазка,Corneliani,189800,151890,19.973656480505795
225,Джемпер,La Martina,73700,51590,30.0
226,Брюки спортивные CORE ID M,EA7,57100,39970,30.0
227,Куртка утепленная CORE ID M,EA7,128100,89670,30.0
228,Пуховик CORE ID M,EA7,122400,85680,30.0
229,Куртка кожаная,Blouson,409900,286990,29.98536228348378
230,Брюки спортивные,La Martina,115700,80990,30.0
231,Пуховик,Colmar,405600,324490,19.997534516765285
232,Кардиган,La Martina,183300,128390,29.956355701036557
233,Брюки,Corneliani,266200,138472,47.98196844477837
234,Брюки,Corneliani,202200,113272,43.98021760633036
235,Дубленка,Iceberg,409000,286290,30.00244498777505
236,Брюки,Les Hommes,278800,83690,69.98206599713056
237,Кроссовки Titanium Runn,Boss,142300,99690,29.94378074490514
238,Пуховик,Harmont & Blaine,513400,410790,19.98636540708999
239,Куртка утепленная C-Chaedus,Boss,204100,142890,29.99020088192063
240,Куртка утепленная,Colmar,442400,309690,29.997739602169986
241,Брюки спортивные VISIBILITY M,EA7,61200,42840,30.0
242,Брюки спортивные CORE ID M,EA7,57100,39970,30.0
243,Куртка кожаная,Blouson,346400,155918,54.989030023094685
244,Куртка кожаная,Blouson,358400,250890,29.99720982142857
245,Куртка утепленная Calanos,Boss,156800,125490,19.968112244897966
246,Куртка утепленная,Bogner Fire+Ice,556500,445190,20.001796945193178
247,Брюки спортивные VISIBILITY M,EA7,61200,42840,30.0
248,Джинсы,Pal Zileri,179100,143290,19.994416527079835
249,Пуховик,Blauer USA,384800,269390,29.992203742203742
250,Брюки спортивные CORE ID M,EA7,61200,42840,30.0
251,Кроссовки,Voile Blanche,165900,116190,29.963833634719705
252,Пуховик,Bikkembergs,311800,218290,29.990378447722904
253,Джемпер,Pal Zileri,281300,225090,19.982225382154283
254,Куртка утепленная Brooklin2441,Hugo,178100,142490,19.994385176866928
255,Куртка утепленная C-Currien,Boss,392500,313990,20.002547770700644
256,Брюки,Aspesi,218600,90218,58.729185727355905
257,Куртка утепленная,Hide & Jack,319700,143918,54.98342195808571
258,Брюки,Brian Dales,140400,60593,56.842592592592595
259,Пуховик Vancouver,After Label,448200,358590,19.99330655957162
260,Водолазка,Corneliani,275000,206290,24.985454545454544
261,Куртка кожаная,Blouson,386000,270190,30.002590673575128
262,Куртка утепленная CORE ID M,EA7,135900,95130,30.0
263,Куртка утепленная,Aeronautica Militare,270500,100043,63.01552680221811
264,Пуховик Mountain M Jacket,EA7,206500,144550,30.0
265,Пуховик,Parajumpers,479900,383990,19.985413627839137
266,Куртка утепленная WINTER JACKETS M,EA7,190900,133630,30.0
267,Джемпер,Corneliani,189800,151890,19.973656480505795
268,Водолазка,Corneliani,275000,219990,20.003636363636375
269,Пуховик и брелок Vancouver,After Label,448200,358590,19.99330655957162
270,Куртка,Aspesi,401900,180893,54.99054491166957
271,Джемпер,La Martina,150400,105290,29.99335106382979
272,Джемпер,La Martina,150400,105290,29.99335106382979
273,Куртка утепленная CORE ID M,EA7,135900,95130,30.0
274,Кардиган,La Martina,183300,128390,29.956355701036557
275,Пуховик,La Martina,364400,255090,29.997255762897908
276,Пуховик,La Martina,364400,255090,29.997255762897908
277,Брюки спортивные,La Martina,115700,80990,30.0
278,Брюки спортивные LOGO SERIES M,EA7,77800,54460,30.0
279,Жилет утепленный,Bogner Fire+Ice,214700,171790,19.98602701443876
280,Кардиган,La Martina,183300,128390,29.956355701036557
281,Брюки спортивные,La Martina,115700,80990,30.0
282,Джемпер,La Martina,162700,113890,30.0
283,Жилет утепленный,La Martina,247100,172990,29.991906110886276
284,Джемпер,La Martina,188400,131890,29.994692144373673
285,Жилет утепленный,La Martina,247100,172990,29.991906110886276
286,Пуховик,La Martina,364400,255090,29.997255762897908
287,Джемпер,La Martina,162700,113890,30.0
288,Джемпер,La Martina,150400,105290,29.99335106382979
289,Пуховик,Outhere,387800,159968,58.7498710675606
290,Кардиган,La Martina,183300,128390,29.956355701036557
291,Куртка джинсовая,Dondup,265800,96368,63.74416854778028
292,Джемпер,La Martina,150400,105290,29.99335106382979
293,Джемпер,La Martina,162700,113890,30.0
294,Джемпер,La Martina,162700,113890,30.0
295,Плащ,Berhasm,299500,139650,53.37228714524207
296,Джемпер,La Martina,188400,131890,29.994692144373673
297,Джемпер,La Martina,150400,105290,29.99335106382979
298,Джемпер,La Martina,188400,131890,29.994692144373673
299,Жилет утепленный,La Martina,247100,172990,29.991906110886276
300,Брюки спортивные,EA7,77800,54460,30.0
301,Джемпер Leno-P,Boss,95600,66990,29.926778242677827
302,Пуховик CORE ID M,EA7,122400,85680,30.0
303,Жилет утепленный V_Thor 2,Boss,136600,109290,19.99267935578331
304,Брюки спортивные NATURAL VENTUS7 M,EA7,86100,60270,30.0
305,Брюки спортивные VISIBILITY M,EA7,61200,42840,30.0
306,Худи PW - GRAPHIC SWEAT HOODIE,Calvin Klein Performance,66500,27923,58.01052631578948
307,Брюки спортивные Sestart,Boss,85700,47190,44.935822637106185
308,Брюки спортивные CORE ID M,EA7,61200,42840,30.0
309,Водолазка San Toby-L,Hugo,114300,74290,35.00437445319335
310,Джемпер H-Dairon,Boss,115800,81090,29.974093264248708
311,Брюки спортивные LOGO SERIES M,EA7,77800,54460,30.0
312,Куртка утепленная,Cavalli Class,499000,112268,77.50140280561122
313,Джинсы,Hackett London,129700,103790,19.976869699306093
314,Кроссовки,Harmont & Blaine,209000,146290,30.004784688995215
315,Джинсы,Armani Exchange,102900,82390,19.931972789115648
316,Пуховик,Colmar,370300,296290,19.986497434512557
317,Жилет утепленный,Add,313200,219290,29.984035759897836
318,Джемпер,Bikkembergs,183500,128490,29.978201634877394
319,Брюки спортивные,Emporio Armani,141300,113090,19.96461429582449
320,Ветровка CORE ID M,EA7,103200,72240,30.0
321,Куртка утепленная,Calvin Klein,146700,117390,19.97955010224949
322,Брюки спортивные CORE ID M,EA7,61200,42840,30.0
323,Джемпер,Malagrida,105000,78790,24.961904761904762
324,Джемпер Astefano,Boss,107500,85990,20.009302325581388
325,Трусы 5 шт. Trunk 5P Essential,Boss,53000,34490,34.924528301886795
326,Брюки спортивные CORE ID M,EA7,57100,39970,30.0
327,Олимпийка Skaz 1,Boss,136100,108890,19.992652461425422
328,Брюки спортивные LOGO SERIES M,EA7,82500,57750,30.0
329,Пуховик WINTER JACKETS M,EA7,206500,144550,30.0
330,Футболки 3 шт.,Boss,33800,27090,19.852071005917153
331,Пуховик двухсторонний,Colmar,392600,274890,29.982170147733072
332,Жилет утепленный Odeno1,Boss,136600,95690,29.948755490483165
333,Носки 6 пар 6P QS RIB LOGO CC,Hugo,25000,17490,30.040000000000006
334,Джемпер,Karl Lagerfeld,95800,71890,24.958246346555327
335,Брюки спортивные LOGO SERIES M,EA7,82500,57750,30.0
336,Джемпер Anion,Boss,82100,65690,19.98781973203411
337,Рубашка Evito,Hugo,57200,45790,19.947552447552454
338,Брюки спортивные CORE ID M,EA7,57100,27993,50.97548161120841
339,Куртка утепленная,Aeronautica Militare,290400,118268,59.274104683195596
340,Плащ,Berhasm,299500,209650,30.0
341,Брюки спортивные SUMMER BLOCK M,EA7,82500,40453,50.9660606060606
342,Куртка утепленная LOGO SERIES M,EA7,156700,109690,30.0
343,Дубленка,Blouson,375600,262990,29.981363152289674
344,Пуховик PREMIUM SHIELD M,EA7,135900,95130,30.0
345,Пуховик,Add,424800,297390,29.99293785310735
346,Куртка утепленная,GCDS,311400,186872,39.989723827874116
347,Жилет утепленный,Colmar,245900,172190,29.97559983733224
348,Куртка утепленная,Karl Lagerfeld,402200,281590,29.987568373943304
349,Пуховик Mountain M Jacket,EA7,210100,147070,30.0
350,Брюки спортивные,Dsquared2,231700,185390,19.987052222701777
351,Плащ Maluks2341,Hugo,285000,142500,50.0
352,Куртка,Cavalli Class,499000,112268,77.50140280561122
353,Брюки спортивные,EA7,74700,52290,30.0
354,Пуховик,Duno,470500,376390,20.00212539851222
355,Ветровка,Aeronautica Militare,136300,95490,29.941305942773297
356,Джемпер,Malagrida,60300,48290,19.91708126036484
357,Джинсы,Diesel,95000,66490,30.010526315789477
358,Брюки,Aeronautica Militare,120200,84190,29.958402662229616
359,Свитшот,Aeroclub,87100,45360,47.92192881745121
360,Куртка кожаная утепленная,Blouson,409900,286990,29.98536228348378
361,Джемпер H-Dambino,Boss,123100,92390,24.94719740048741
362,Брюки,Aspesi,192500,77618,59.678961038961035
363,Джемпер H-Dairon,Boss,115800,75290,34.98272884283247
364,Брюки спортивные SUMMER BLOCK M,EA7,82500,34643,58.00848484848485
365,Кардиган,Aeronautica Militare,117100,93690,19.991460290350133
366,Водолазка,Pal Zileri,262100,209690,19.996184662342614
367,Жилет утепленный,Parajumpers,255300,163432,35.98433215824521
368,Пуловер,Baldinini Trend,173900,52193,69.9867740080506
369,Парка,Duno,435200,348190,19.993106617647058
370,Водолазка,Malagrida,78000,58490,25.01282051282051
371,Куртка утепленная,Bogner Fire+Ice,214700,171790,19.98602701443876
372,Брюки спортивные,Colmar,71600,37272,47.94413407821229
373,Брюки,C.P. Company,158300,134590,14.977890082122542
374,Брюки спортивные,Colmar,71600,45920,35.865921787709496
375,Джемпер,Corneliani,241200,180890,25.004145936981757
376,Водолазка,Corneliani,275000,192490,30.00363636363636
377,Свитшот,Harmont & Blaine,94700,66290,30.0
378,Куртка утепленная,Harmont & Blaine,233600,186890,19.995719178082197
379,Брюки спортивные TENNIS CLUB M,EA7,90300,50603,43.96124031007752
380,Куртка джинсовая,Diesel,306200,244990,19.990202482037887
381,Брюки C-Peter-PL-243,Boss,142800,114290,19.96498599439775
382,Брюки,CC Collection Corneliani,168400,134790,19.958432304038013
383,Носки 3 пары,Diesel,21300,14990,29.624413145539904
384,Кроссовки,EA7,128100,58303,54.48633879781421
385,Водолазка,Malagrida,78000,58490,25.01282051282051
386,Жилет утепленный,Colmar,226200,158390,29.97789566755084
387,Сумка,Baldinini,224700,107920,51.97151757899422
388,Пуховик CORE ID M,EA7,122400,68593,43.95996732026144
389,Куртка утепленная P-Cixus,Boss,408600,286090,29.98286833088595
390,Джемпер,Emporio Armani,200500,160390,20.004987531172063
391,Худи Nazardo,Hugo,79000,63190,20.012658227848107
392,Пуховик,Add,424800,297390,29.99293785310735
393,Брюки Gos241F1J,Hugo,128800,90190,29.97670807453416
394,Куртка утепленная C-Dorlando_PS,Boss,356700,249690,30.0
395,Футболка Dalile,Hugo,54600,38290,29.871794871794876
396,Кардиган Avac_FZ,Boss,107500,75290,29.96279069767442
397,Жилет утепленный,Colmar,245900,196790,19.971533143554282
398,Брюки,CC Collection Corneliani,168400,134790,19.958432304038013
399,Жилет утепленный,Bogner Fire+Ice,214700,171790,19.98602701443876
400,Кроссовки Kane_Runn_mfny_N,Hugo,114300,85790,24.943132108486438
401,Халат домашний,Roberto Cavalli,209500,55043,73.72649164677804
402,Джинсы,Armani Exchange,102900,82390,19.931972789115648
403,Халат домашний,Roberto Cavalli,216600,97493,54.98938134810711
404,Жилет утепленный,Hugo,128800,77290,39.992236024844715
405,Брюки,Aeronautica Militare,137300,109890,19.96358339402768
406,Водолазка,Malagrida,78000,58490,25.01282051282051
407,Брюки спортивные SUMMER BLOCK M,EA7,82500,34643,58.00848484848485
408,Брюки P-Kane-PL,Boss,102800,72100,29.86381322957199
409,Джемпер Avac C,Boss,88800,71090,19.943693693693703
410,Футболки 3 шт.,Hugo,32200,22590,29.84472049689441
411,Брюки,CC Collection Corneliani,203300,97592,51.99606492867683
412,Куртка Obear,Boss,190600,133490,29.963273871983205
413,Куртка кожаная утепленная,Serge Pariente,275000,176000,36.0
414,Носки 5 пар 5P RS Uni Col CC,Boss,30200,21190,29.83443708609272
415,Майка,Diesel,73300,22043,69.92769440654843
416,Кроссовки GO1ST_dbth,Hugo,140000,52493,62.505
417,Брюки спортивные,Emporio Armani,135000,87790,34.970370370370375
418,Брюки спортивные,Aeronautica Militare,124400,99590,19.943729903536976
419,Джемпер H-Eclaus,Boss,128800,103090,19.961180124223603
420,Водолазка,Emporio Armani,187000,149590,20.005347593582883
421,Свитшот,Armani Exchange,94600,56792,39.966173361522195
422,Джемпер,Harmont & Blaine,133200,74632,43.969969969969966
423,Кроссовки,Emporio Armani,200500,160390,20.004987531172063
424,Ветровка,Karl Lagerfeld,316700,127943,59.60119987369751
425,Водолазка,Malagrida,78000,58490,25.01282051282051
426,Жилет утепленный Calano,Boss,136600,95690,29.948755490483165
427,Брюки,Emporio Armani,177600,142090,19.994369369369366
428,Трусы 3 шт.,Diesel,31300,21990,29.7444089456869
429,Джемпер,Aeronautica Militare,95400,66790,29.989517819706506
430,Джемпер,Harmont & Blaine,169600,74720,55.943396226415096
431,Кроссовки TTNM EVO Runn,Boss,142300,92490,35.00351370344343
432,Брюки,Boss,93000,65090,30.010752688172033
433,Куртка утепленная,Liu Jo Uomo,131900,105590,19.946929492039416
434,Брюки спортивные VISIBILITY M,EA7,61400,23653,61.4771986970684
435,Носки 5 пар 5P RS Uni Col CC,Boss,28600,22890,19.96503496503496
436,Джемпер,Bikkembergs,183500,128490,29.978201634877394
437,Куртка утепленная CORE ID M,EA7,128100,71743,43.99453551912569
438,Брюки,Malagrida,67600,40552,40.01183431952663
439,Пуховик,Colmar,360000,251990,30.00277777777778
440,Кроссовки Parkour-L_Runn_rsmx,Boss,142300,113890,19.964862965565715
441,Куртка утепленная,Bally,626200,258368,58.74033854998403
442,Носки 3 пары 3P QS RIB STENCIL CC,Hugo,18200,14590,19.835164835164832
